id,department_code,course_number,title,units,gwr,uscp,notes
193,GEOG,308,Global Geography,4,FALSE,FALSE,Note: Junior standing
194,GEOL,203,The Geologic Record: Fossils and the History of Life,4,FALSE,FALSE,
195,GEOL,305,Seismology and Earth Structure,4,FALSE,FALSE,Note: Junior standing
196,HIST,201,United States History to 1865,4,FALSE,TRUE,
197,HIST,210,World History to 1800,4,FALSE,FALSE,
198,HIST,350,"The Scientific Revolution, c. 1500-1800",4,FALSE,FALSE,Note: Junior standing or History major
199,HLTH,260,Women's Health Issues,4,FALSE,TRUE,
200,IME,315,Financial Decision Making for Engineers,3,FALSE,FALSE,
201,IME,320,Human Factors and Technology,4,FALSE,FALSE,Note: Junior standing
202,ISLA,123,Introduction to Arts and Humanities,4,FALSE,FALSE,Note: Sustainability Focused
203,ISLA,320,"Topics in Values, Media, and Culture",4,FALSE,FALSE,Note: Junior standing
204,ISLA,350,The Global Environment,4,FALSE,FALSE,Note: Junior standing; Sustainability Focused
205,KINE,323,Sport and Gender,4,FALSE,TRUE,Note: Junior standing
206,MATH,141,Calculus I,4,FALSE,FALSE,
207,MATH,142,Calculus II,4,FALSE,FALSE,
208,MATH,143,Calculus III,4,FALSE,FALSE,
209,MATH,241,Calculus IV,4,FALSE,FALSE,
210,MATH,242,Differential Equations I,4,FALSE,FALSE,
211,MATH,244,Linear Analysis I,4,FALSE,FALSE,
212,MATH,248,Methods of Proof in Mathematics,4,FALSE,FALSE,
213,MATH,334,Combinatorial Math,4,FALSE,FALSE,Note: Junior standing or Mathematics major.
214,MATH,335,Graph Theory,4,FALSE,FALSE,Note: Junior standing
215,PHIL,230,Philosophical Classics: Knowledge and Reality,4,FALSE,FALSE,
216,PHIL,323,"Ethics, Science and Technology",4,FALSE,FALSE,Note: Junior standing; Sustainability Focused
217,PHYS,141,General Physics I,4,FALSE,FALSE,
218,PHYS,142,General Physics II,4,FALSE,FALSE,
219,PHYS,143,General Physics III,4,FALSE,FALSE,
220,PHYS,211,Modern Physics I,4,FALSE,FALSE,
221,PHYS,305,Classical Mechanics I,4,FALSE,FALSE,Note: Junior standing
222,PSY,202,General Psychology,4,FALSE,FALSE,
223,PSY,311,Environmental Psychology,4,FALSE,FALSE,Note: Junior standing; Sustainability Focused
224,PSY,340,Biopsychology,4,FALSE,FALSE,Note: Junior standing
225,PSY,350,Teamwork,4,FALSE,FALSE,
226,SPAN,101,Elementary Spanish I,4,FALSE,FALSE,
227,SPAN,102,Elementary Spanish II,4,FALSE,FALSE,
228,SPAN,103,Elementary Spanish III,4,FALSE,FALSE,
229,SPAN,201,Intermediate Spanish I,4,FALSE,FALSE,
230,SPAN,202,Intermediate Spanish II,4,FALSE,FALSE,
231,SPAN,203,Intermediate Spanish III,4,FALSE,FALSE,
232,STAT,312,Statistical Methods for Engineers,4,FALSE,FALSE,"Note: Junior standing or one of the following majors: CPE, CSC, EE, GENE, IE, MATE, MFGE, or SE."
233,STAT,334,Applied Linear Models,4,FALSE,FALSE,
234,STAT,350,Probability and Random Processes for Engineers,4,FALSE,FALSE,Note: Junior standing
235,UNIV,401,Graduation Writing Requirement Portfolio,4,TRUE,FALSE,Note: Junior standing
