department_code,course_number,title,units,term,GE_area,GWR,USCP,prerequisite,corequisite,crosslisted,notes
CPE,431,Compiler Construction,4,"F, W, SP",0,FALSE,FALSE,CSC 430,None,CSC 431,
CPE,439,Introduction to Real-Time Operating Systems,4,TBD,0,FALSE,FALSE,CPE 316,None,EE 439,
CPE,442,Real Time Embedded Systems (Crosslisted EE 442),4,F,0,FALSE,FALSE,CPE 336 || EE 336 || CPE 316,None,EE 442,
CPE,446,Design of Fault-Tolerant Digital Systems,4,F,0,FALSE,FALSE,(CPE 336 || EE 336 || CPE 316) && STAT 350,None,EE 446,
CPE,447,"Stringed Musical Instrument Acoustics, Mechanics, and Transducer Design",4,TBD,0,FALSE,FALSE,EE 336 || CPE 336 || CPE 316,None,EE 447,
CPE,450,Capstone II,3,W,0,FALSE,FALSE,CPE 350,None,None,
CPE,453,Introduction to Operating Systems (Crosslisted as CSC 453),4,"F, W, SP",0,FALSE,FALSE,(CPE 357 || CSC 357) && (CSC 225 || CPE 233 || EE 233),None,CSC 453,
CPE,454,Implementation of Operating Systems,4,TBD,0,FALSE,FALSE,CSC 453 || CPE 453,None,CSC 454,
CPE,458,Current Topics in Computer Systems,4,TBD,0,FALSE,FALSE,CSC 357 || CPE 357,None,CSC 458,Total credit limited to 8 units.
CPE,461,Senior Project I,2,"F, W, SP, SU",0,FALSE,FALSE,CPE 350,None,None,
CPE,462,Senior Project II,2,"F, W, SP, SU",0,FALSE,FALSE,CPE 450,None,None,
CPE,464,Introduction to Computer Networks,4,"F, W, SP",0,FALSE,FALSE,(CPE 357 || CSC 357) && (STAT 312 || STAT 350),None,None,
CPE,465,Advanced Computer Networks,4,TBD,0,FALSE,FALSE,(CPE 453 || CSC 453) && (CSC 364 || CPE 464),None,None,
CPE,469,Distributed Systems,4,SP,0,FALSE,FALSE,CPE 357 || CSC 357,None,CSC 469,
CPE,470,Selected Advanced Topics,1-4,TBD,0,FALSE,FALSE,None,None,None,Total credit limited to 8 units.
CPE,471,Introduction to Computer Graphics,4,"F, W, SP",0,FALSE,FALSE,CPE 357 || CSC 357,None,CSC 471,
CPE,472,Digital Control Systems Laboratory,1,F,0,FALSE,FALSE,None,None,EE 472,
CPE,476,Real-Time 3D Computer Graphics Software,4,TBD,0,FALSE,FALSE,CSC 471 || CPE 471,None,CSC 476,
CPE,479,Selected Advanced Laboratory,1-4,TBD,0,FALSE,FALSE,None,None,None,Note: Consent of instructor; Total credit limited to 8 units.
CPE,493,Cooperative Education Experience,2,"F, W, SP, SU",0,FALSE,FALSE,None,None,None,Note: Sophomore standing and consent of instructor; Credit/No Credit grading only; No major credit allowed; Total credit limited to 6 units.
CPE,494,Cooperative Education Experience,6,"F, W, SP, SU",0,FALSE,FALSE,None,None,None,Note: Sophomore standing and consent of instructor; Credit/No Credit grading only; No major credit allowed; Total credit limited to 18 units.
CPE,495,Cooperative Education Experience,12,"F, W, SP, SU",0,FALSE,FALSE,None,None,None,Note: Sophomore standing and consent of instructor; Credit/No Credit grading only; No major credit allowed; Total credit limited to 24 units.
CRP,215,Planning for and with Multiple Publics,4,SP,0,FALSE,TRUE,((D1)>=4) && ES 112,None,None,
CSC,101,Fundamentals of Computer Science,4,"F, W, SP",0,FALSE,FALSE,,None,None,
CSC,123,Introduction to Computing,4,"F, W",0,FALSE,FALSE,None,None,CPE 123,
CSC,202,Data Structures,4,"F, W, SP",0,FALSE,FALSE,CPE 101 || CSC 101.,None,CPE 202,
CSC,203,Project-Based Object-Oriented Programming and Design,4,"F, W, SP",0,FALSE,FALSE,CPE 202 || CSC 202,None,"CPE 203, CSC 123, CPE 123",
