department_code,course_number,title,units,term,GE_area,GWR,USCP,prerequisite,corequisite,crosslisted,notes
IME,320,Human Factors and Technology,4,W,7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && (STAT 312),None,None,Note: Junior standing
ISLA,123,Introduction to Arts and Humanities,4,"F, W, SP",8,FALSE,FALSE,None,None,None,Note: Sustainability Focused
ISLA,320,"Topics in Values, Media, and Culture",4,"F, W",11,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((C2)>=4),None,None,Note: Junior standing
ISLA,350,The Global Environment,4,"F, W, SP",14,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((D1)>=4),None,None,Note: Junior standing; Sustainability Focused
KINE,323,Sport and Gender,4,"F, W, SP",14,FALSE,TRUE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((GE_area_id == 12 || GE_area_id == 13)),None,None,Note: Junior standing
MATH,141,Calculus I,4,"F,W,SP,SU",6,FALSE,FALSE,None,None,None,
MATH,142,Calculus II,4,"F,W,SP,SU",6,FALSE,FALSE,MATH 141,None,None,
MATH,143,Calculus III,4,"F,W,SP,SU",6,FALSE,FALSE,MATH 142,None,None,
MATH,241,Calculus IV,4,"F,W,SP,SU",0,FALSE,FALSE,MATH 143,None,None,
MATH,242,Differential Equations I,4,"W, SP",0,FALSE,FALSE,MATH 241,None,None,
MATH,244,Linear Analysis I,4,"F,W,SP,SU",0,FALSE,FALSE,MATH 143,None,MATH 242,
MATH,248,Methods of Proof in Mathematics,4,"F,W,SP,SU",0,FALSE,FALSE,MATH 143,None,None,
MATH,334,Combinatorial Math,4,"F, W",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && (CSC 248 || MATH 248),None,None,Note: Junior standing or Mathematics major.
MATH,335,Graph Theory,4,F,0,FALSE,FALSE,MATH 248,None,None,Note: Junior standing
PHIL,230,Philosophical Classics: Knowledge and Reality,4,"F, W, SP, SU",9,FALSE,FALSE,(A1)>=4 && (A2)>=4 && (A3)>=4,None,None,
PHIL,323,"Ethics, Science and Technology",4,"F, W",11,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((C2)>=4),None,None,Note: Junior standing; Sustainability Focused
PHYS,141,General Physics I,4,"F,W,SP,SU",4,FALSE,FALSE,MATH 141,MATH 142,None,
PHYS,142,General Physics II,4,"F,W,SP,SU",4,FALSE,FALSE,PHYS 141 && MATH 142,None,None,
PHYS,143,General Physics III,4,"F,W,SP,SU",4,FALSE,FALSE,MATH 142 && PHYS 141 && MATH 241,None,None,
PHYS,211,Modern Physics I,4,"F, W, SP",0,FALSE,FALSE,PHYS 142 && PHYS 143 && MATH 241 && (MATH 242 || MATH 244),None,None,
PHYS,305,Classical Mechanics I,4,F,7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && PHYS 141 && MATH 241 && (MATH 242 || MATH 244),None,None,Note: Junior standing
PSY,202,General Psychology,4,"F, W",15,FALSE,FALSE,None,None,None,
PSY,311,Environmental Psychology,4,"F, W",14,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && ((E)>=4),None,None,Note: Junior standing; Sustainability Focused
PSY,340,Biopsychology,4,"F, W, SP",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && PSY 202,None,None,Note: Junior standing
SPAN,101,Elementary Spanish I,4,"F, W, SP",0,FALSE,FALSE,None,None,None,
SPAN,102,Elementary Spanish II,4,"F, W, SP",0,FALSE,FALSE,SPAN 101,None,None,
SPAN,103,Elementary Spanish III,4,"F, W, SP",0,FALSE,FALSE,SPAN 102,None,None,
SPAN,201,Intermediate Spanish I,4,"F, W, SP",10,FALSE,FALSE,SPAN 103,None,None,
SPAN,202,Intermediate Spanish II,4,"F, W, SP",10,FALSE,FALSE,SPAN 201,None,None,
SPAN,203,Intermediate Spanish III,4,"F, W, SP",10,FALSE,FALSE,SPAN 202,None,None,
STAT,312,Statistical Methods for Engineers,4,"F,W,SP,SU",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && MATH 142,None,DATA 100,"Note: Junior standing or one of the following majors: CPE, CSC, EE, GENE, IE, MATE, MFGE, or SE."
STAT,334,Applied Linear Models,4,"W, SP",0,FALSE,FALSE,STAT 312 && MATH 244,None,None,
STAT,350,Probability and Random Processes for Engineers,4,"F, W, SP",7,FALSE,FALSE,((A1)>=4 && (A2)>=4 && (A3)>=4) && ((B4)>=4) && MATH 241 && CPE 327,None,None,Note: Junior standing
UNIV,401,Graduation Writing Requirement Portfolio,0,"F,W,SP,SU",0,TRUE,FALSE,(A1)>=4 && (A2)>=4 && (A3)>=4,None,None,Note: Junior standing
